City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,kruisfontein,-34.0033,24.7314,9.94,81,99,2.12,ZA,1681256307
308,lamar,33.6668,-95.5836,22.95,42,0,4.12,US,1681256307
309,idanre,7.1127,5.1159,22.73,98,99,1.2,NG,1681256307
310,deputatskiy,69.3,139.9,-19.43,95,100,1.48,RU,1681256307
311,kifri,34.6959,44.9661,18.65,75,100,7.6,IQ,1681256308
312,pittsburg,38.028,-121.8847,22.01,43,0,4.63,US,1681256308
313,teacapan,22.55,-105.75,27.76,33,36,3.91,MX,1681256308
314,espirito santo do pinhal,-22.1158,-46.6828,19.2,79,64,1.36,BR,1681256309
315,saskylakh,71.9167,114.0833,-21.69,99,93,2.73,RU,1681256309
316,erzin,36.9559,36.2,9.7,91,32,0.77,TR,1681256309
317,kangaatsiaq,68.3065,-53.4641,-4.41,90,17,2.51,GL,1681256309
318,ostrovnoy,68.0531,39.5131,-2.29,78,100,7.21,RU,1681256309
319,srednekolymsk,67.45,153.6833,-17.12,87,90,2.29,RU,1681256310
320,san rafael,-34.6177,-68.3301,20.42,51,21,5.78,AR,1681256030
321,luanda,-8.8368,13.2343,28.0,78,75,3.09,AO,1681256073
322,shikarpur,27.9571,68.6379,25.2,31,1,0.79,PK,1681256310
323,vardo,70.3705,31.1107,0.99,69,75,7.72,NO,1681256311
324,tilichiki,60.4667,166.1,-14.43,80,72,4.85,RU,1681256311
325,san andres,12.5847,-81.7006,28.01,74,40,4.63,CO,1681256038
326,matagami,49.7502,-77.6328,4.06,75,100,5.66,CA,1681256311
327,yatou,37.15,122.3833,11.05,27,0,2.79,CN,1681256312
328,bereznik,62.8551,42.7072,0.62,98,96,1.84,RU,1681256312
329,carutapera,-1.195,-46.02,27.89,72,98,2.2,BR,1681256312
330,kapiri mposhi,-13.9652,28.6809,16.89,95,95,2.04,ZM,1681256313
331,pundaguitan,6.3711,126.1689,27.52,78,75,2.68,PH,1681256313
332,bilibino,68.0546,166.4372,-16.96,70,100,0.47,RU,1681256313
333,faya,18.3851,42.4509,16.06,54,0,0.22,SA,1681256313
334,sorong,-0.8833,131.25,27.85,79,99,1.98,ID,1681256314
335,isla mujeres,21.2311,-86.731,27.03,71,57,3.59,MX,1681256314
336,sembe,1.6481,14.5806,20.57,98,100,1.18,CG,1681256314
337,ijui,-28.3878,-53.9147,25.01,46,68,2.43,BR,1681256314
338,coihaique,-45.5752,-72.0662,9.97,62,0,2.57,CL,1681256314
339,geraldton,-28.7667,114.6,13.23,94,0,3.6,AU,1681256314
340,caravelas,-17.7125,-39.2481,23.24,94,98,3.37,BR,1681256315
341,micheweni,-4.9667,39.8333,28.37,75,33,2.79,TZ,1681256315
342,tatishchevo,51.6703,45.5953,8.04,48,64,3.02,RU,1681256315
343,stony plain,53.5334,-114.0021,2.08,94,100,3.6,CA,1681256254
344,araouane,18.9048,-3.5265,26.13,10,99,4.03,ML,1681256315
345,jalu,29.0331,21.5482,13.85,66,1,5.72,LY,1681256315
346,oum hadjer,13.2954,19.6966,30.02,18,93,8.34,TD,1681256315
347,urdoma,61.7533,48.5442,0.24,91,100,2.2,RU,1681256316
348,katherine,-14.4667,132.2667,28.18,78,40,1.03,AU,1681256316
349,marfino,55.7028,37.3822,8.94,87,0,1.0,RU,1681256316
350,belaya gora,68.5333,146.4167,-16.57,89,80,1.46,RU,1681256316
351,norman wells,65.282,-126.8329,-0.98,55,40,4.12,CA,1681256316
352,bonavista,48.6499,-53.1147,0.86,77,79,6.65,CA,1681256316
